registration_number,brand,model,year,mileage,fuel_type,transmission,engine_cc,owner_type,price
GJ 84 IT 9817,Toyota,Highlander,2025,13898.0,Electric,Manual,0.0,Fourth & Above,19700.0
DL 97 OS 7209,Mahindra,Bolero,2023,52141.0,Hybrid,Manual,1497.0,First,13800.0
UP 90 IR 1166,Hyundai,Elantra,2025,18236.0,Diesel,Automatic,1497.0,Third,14700.0
KL 03 CJ 4630,Maruti,Baleno,2012,148415.0,CNG,Manual,1999.0,Fourth & Above,2500.0
TS 90 OI 6023,Tata,Harrier,2019,104953.0,CNG,Automatic,1999.0,Fourth & Above,5400.0
HR 93 SY 9595,Mercedes,E-Class,2013,200029.0,CNG,Manual,2497.0,Second,3900.0
MH 36 BB 5786,Audi,Q5,2013,214426.0,Hybrid,Manual,1998.0,Third,3500.0
MH 07 IP 2869,Tesla,Model 3,2025,10074.0,Electric,Automatic,0.0,Fourth & Above,37600.0
KA 32 DR 7818,Honda,City,2025,12258.0,Petrol,Manual,1799.0,Second,17700.0
KA 98 GU 4457,Audi,A6,2022,52791.0,CNG,Automatic,1998.0,Third,22500.0
KL 38 BH 5720,Mercedes,C-Class,2015,117593.0,Diesel,Manual,3982.0,Fourth & Above,7600.0
DL 83 EI 3330,Tesla,Model Y,2024,,Electric,Manual,0.0,Fourth & Above,28800.0
HR 90 MI 9199,Honda,Civic,2015,178569.0,CNG,Automatic,999.0,Fourth & Above,2500.0
DL 87 SS 1339,Maruti,Dzire,2024,18768.0,Electric,Automatic,0.0,Third,8700.0
AP 82 PC 8700,Volkswagen,Tiguan,2011,236167.0,CNG,Automatic,1197.0,Third,2500.0
WB 52 YR 1601,Hyundai,Creta,2020,68681.0,Diesel,Automatic,1999.0,Fourth & Above,6800.0
DL 67 LT 9167,Mahindra,Thar,2020,64607.0,Electric,Manual,0.0,Fourth & Above,7800.0
WB 78 ZH 3594,Volkswagen,Virtus,2011,153730.0,Hybrid,Automatic,999.0,Fourth & Above,2500.0
HR 66 WI 7807,Mercedes,S-Class,2010,217733.0,Petrol,Automatic,2497.0,First,2500.0
AP 44 ZQ 5377,Mahindra,Bolero,2017,114689.0,Diesel,Manual,1497.0,First,4700.0
TS 43 RY 9903,Toyota,RAV4,2019,117943.0,Electric,Manual,0.0,Fourth & Above,6500.0
KL 91 ZM 7325,Tata,Altroz,2020,105099.0,Diesel,Automatic,1598.0,Second,5200.0
KL 02 XE 7717,Volkswagen,Jetta,2025,19153.0,CNG,Automatic,1598.0,First,15200.0
GJ 49 KU 8994,Volkswagen,Jetta,2012,182605.0,Hybrid,Automatic,1497.0,First,2500.0
WB 91 DO 3725,Maruti,Swift,2012,148605.0,Hybrid,Manual,1598.0,First,2500.0
DL 68 NS 3950,Tesla,Model Y,2010,139543.0,Electric,Automatic,0.0,Third,3000.0
HR 59 IV 1153,Ford,Explorer,2012,199859.0,Diesel,Automatic,1197.0,Second,2500.0
HR 26 MP 2747,Mahindra,Scorpio,2015,100905.0,CNG,Automatic,1999.0,Fourth & Above,3300.0
WB 96 BT 9138,BMW,X5,2021,73711.0,Hybrid,Manual,2993.0,Fourth & Above,15600.0
KL 05 SL 3153,Mercedes,E-Class,2021,52710.0,Hybrid,Manual,1998.0,First,19700.0
KL 38 XK 2886,Honda,CR-V,2020,94551.0,Diesel,Automatic,1197.0,Third,5500.0
TN 34 RD 8451,Mahindra,Thar,2014,188400.0,Electric,Automatic,0.0,First,2500.0
GJ 42 TH 2035,Hyundai,Verna,2018,115054.0,Hybrid,Manual,1598.0,Second,3600.0
DL 69 EM 8432,Volkswagen,Virtus,2019,102913.0,Petrol,Manual,1598.0,Third,5000.0
HR 05 WL 4559,Hyundai,Verna,2023,45526.0,Electric,Manual,0.0,Fourth & Above,11400.0
KA 59 CV 4475,Mahindra,Bolero,2017,150387.0,Hybrid,Automatic,1598.0,First,3200.0
DL 30 KY 3417,Volkswagen,Polo,2011,239993.0,Diesel,Manual,1799.0,First,2500.0
TN 17 AL 4898,Audi,A4,2018,134251.0,Diesel,Automatic,1998.0,Second,9200.0
TS 66 SD 8405,Audi,Q5,2010,157088.0,Electric,Manual,0.0,First,2700.0
TN 62 MN 2768,Maruti,Baleno,2011,233721.0,CNG,Automatic,1999.0,Fourth & Above,2500.0
UP 71 WK 7240,Mahindra,Bolero,2012,240185.0,Diesel,Manual,1497.0,Second,2500.0
AP 44 OM 7815,Audi,Q5,2024,28831.0,Petrol,Manual,3982.0,Fourth & Above,34400.0
KA 12 ND 7105,Tesla,Model 3,2020,77266.0,Electric,Manual,0.0,Fourth & Above,13500.0
AP 93 BJ 6119,Ford,Endeavour,2011,211216.0,Hybrid,Manual,3198.0,Fourth & Above,2500.0
UP 29 ZN 1430,Hyundai,Elantra,2016,98401.0,Petrol,Automatic,999.0,Third,3800.0
MH 73 VM 2140,Audi,Q5,2010,160677.0,Hybrid,Automatic,1998.0,Third,2500.0
HR 93 KY 2391,Ford,Mustang,2012,218316.0,Electric,Automatic,0.0,Third,2500.0
UP 57 NI 4531,Toyota,Corolla,2015,172186.0,Petrol,Automatic,1999.0,Fourth & Above,2700.0
UP 08 AG 5938,Maruti,Swift,2021,,CNG,Automatic,999.0,Third,5300.0
GJ 91 HQ 6802,BMW,5 Series,2018,88635.0,Electric,Automatic,0.0,Second,10400.0
WB 54 JD 7636,Honda,City,2011,188271.0,Petrol,Automatic,1799.0,Fourth & Above,2500.0
UP 52 QC 7484,Toyota,RAV4,2015,179617.0,Hybrid,Manual,999.0,Fourth & Above,2500.0
WB 19 HD 3399,Mercedes,GLC,2017,103648.0,CNG,Manual,2993.0,Second,9500.0
UP 58 VS 6295,Mercedes,E-Class,2015,158304.0,Petrol,Manual,,Fourth & Above,6000.0
HR 60 OB 1932,Volkswagen,Tiguan,2014,151647.0,Hybrid,Automatic,1497.0,First,2500.0
TN 58 ZS 4084,Hyundai,Tucson,2012,207162.0,Petrol,Automatic,1799.0,Fourth & Above,2500.0
KA 65 UF 1641,Hyundai,i20,2025,17844.0,Electric,Manual,0.0,Third,18000.0
TS 87 TB 6482,BMW,X5,2024,29920.0,Hybrid,Automatic,3982.0,Third,31200.0
MH 45 JU 7421,Honda,CR-V,2013,179081.0,Hybrid,Manual,999.0,Third,2500.0
TN 47 JF 4509,Ford,Endeavour,2012,157848.0,Hybrid,Manual,4951.0,First,2500.0
GJ 05 VK 3147,Hyundai,Creta,2016,104204.0,Petrol,Automatic,1799.0,First,3700.0
WB 93 HO 5668,Audi,Q7,2014,119795.0,CNG,Manual,1998.0,Fourth & Above,5500.0
UP 57 OY 5616,Tesla,Model Y,2017,122298.0,Electric,Manual,0.0,Third,8900.0
TS 71 DW 9452,Tata,Tiago,2023,57255.0,CNG,Manual,999.0,Third,11500.0
DL 58 LA 7797,Honda,CR-V,2012,220927.0,CNG,Manual,999.0,Fourth & Above,2500.0
WB 43 ZE 3254,Toyota,Highlander,2021,56767.0,Hybrid,Manual,3198.0,First,12600.0
TN 33 GE 9991,Toyota,RAV4,2025,16515.0,Electric,Automatic,0.0,First,24300.0
WB 80 OC 2816,Tesla,Model S,2023,29488.0,Electric,Manual,0.0,First,25500.0
WB 86 CQ 6908,Mahindra,Thar,2017,138834.0,Petrol,Automatic,1799.0,Second,3600.0
TS 09 LH 2698,Honda,Amaze,2010,193353.0,Electric,Automatic,0.0,Third,2500.0
KA 92 YO 1605,Audi,Q5,2014,104504.0,Diesel,Automatic,2497.0,Fourth & Above,6800.0
WB 25 JL 1783,Mercedes,E-Class,2011,243209.0,Hybrid,Automatic,3982.0,Fourth & Above,2600.0
MH 64 WP 7018,Volkswagen,Tiguan,2018,76430.0,Electric,Automatic,0.0,Fourth & Above,5400.0
TS 85 JJ 8305,Maruti,Brezza,2012,215107.0,CNG,Manual,1497.0,Third,2500.0
TN 10 VU 7655,Audi,Q7,2015,166280.0,Petrol,Automatic,2993.0,Fourth & Above,5000.0
WB 47 LM 1530,Hyundai,i20,2015,194377.0,CNG,Automatic,1197.0,First,2500.0
HR 32 DA 4048,Audi,A6,2024,37464.0,Petrol,Manual,3982.0,Third,28200.0
KL 26 DE 2213,Mahindra,Bolero,2013,140072.0,Electric,Manual,0.0,Third,2500.0
MH 92 WW 3852,Mahindra,XUV700,2024,40187.0,Hybrid,Automatic,3198.0,First,16500.0
UP 48 OZ 3126,Hyundai,i20,2017,84726.0,Diesel,Manual,999.0,Fourth & Above,4100.0
KA 17 KU 2215,Audi,A4,2012,160299.0,Electric,Automatic,0.0,Fourth & Above,3800.0
TN 16 QE 5982,Mahindra,Bolero,2021,50732.0,CNG,Manual,1598.0,Second,9700.0
GJ 36 EU 5961,Ford,Explorer,2020,105986.0,CNG,Automatic,1497.0,First,7600.0
WB 99 SI 4453,Audi,A4,2015,156421.0,Diesel,Automatic,1998.0,First,4500.0
WB 52 JO 2195,Audi,Q7,2010,211194.0,Hybrid,Automatic,2497.0,Fourth & Above,2500.0
TS 94 LM 3142,Tesla,Model 3,2015,139293.0,Electric,Automatic,0.0,Second,5600.0
HR 50 TN 5067,Hyundai,i20,2013,148350.0,Hybrid,Automatic,1197.0,Second,2500.0
KA 51 QO 4944,Ford,F-150,2020,61027.0,CNG,Automatic,3198.0,Fourth & Above,10300.0
AP 18 IX 6992,BMW,7 Series,2021,44558.0,CNG,Automatic,1998.0,Third,22800.0
KL 98 RI 2946,Tata,Safari,2011,,Diesel,Automatic,999.0,Third,2500.0
AP 65 BB 1637,Ford,Mustang,2022,51875.0,CNG,Automatic,2755.0,Second,14300.0
UP 95 JS 6511,Ford,F-150,2025,14789.0,CNG,Manual,3198.0,Third,21100.0
AP 75 JZ 1436,Maruti,Ertiga,2025,17286.0,Petrol,Automatic,1999.0,Third,10300.0
WB 93 TY 7229,Audi,Q7,2018,145497.0,CNG,Manual,3982.0,First,7300.0
AP 89 GN 9221,Ford,Explorer,2011,209687.0,Diesel,Manual,1497.0,Fourth & Above,2500.0
MH 59 RK 9950,Audi,Q7,2011,228941.0,CNG,Automatic,3982.0,Fourth & Above,2500.0
HR 99 JW 4396,Hyundai,Verna,2018,114575.0,Diesel,Automatic,1197.0,Third,4800.0
GJ 49 ML 3399,Tesla,Model S,2025,13565.0,Electric,Automatic,0.0,First,38600.0
GJ 35 RW 5450,Mercedes,C-Class,2019,124188.0,Electric,Automatic,0.0,Fourth & Above,10500.0
TS 92 PD 3252,Ford,Mustang,2017,97500.0,CNG,Manual,2198.0,Second,5300.0
HR 42 JU 1969,Toyota,Fortuner,2015,137499.0,Electric,Automatic,0.0,Second,3700.0
TN 51 ZP 4052,Honda,Amaze,2017,124056.0,Petrol,Manual,1197.0,Fourth & Above,3900.0
WB 70 QP 3198,Tesla,Model Y,2011,124661.0,Electric,Automatic,0.0,Third,3800.0
TS 38 SV 4164,Maruti,Dzire,2018,80875.0,Diesel,Automatic,1999.0,Third,3300.0
KL 42 HA 5272,Ford,Endeavour,2022,68140.0,Petrol,Automatic,2755.0,First,14900.0
DL 08 VD 8625,Tata,Harrier,2024,35891.0,Hybrid,Manual,1999.0,Third,13100.0
DL 18 PE 8454,Mercedes,E-Class,2022,64135.0,Hybrid,Manual,2993.0,Third,23400.0
UP 11 QO 9653,Tesla,Model S,2021,63989.0,Electric,Manual,0.0,Second,19700.0
GJ 57 DV 4365,Tesla,Model Y,2012,241863.0,Electric,Manual,0.0,Second,2700.0
KL 73 BR 8575,Tesla,Model S,2025,11950.0,Electric,Automatic,,Second,38200.0
KA 70 BC 8734,Volkswagen,Tiguan,2010,195617.0,Diesel,Manual,1598.0,First,2500.0
AP 49 CV 9835,Toyota,RAV4,2023,30941.0,Electric,Automatic,0.0,Fourth & Above,15600.0
HR 60 VX 9920,Ford,F-150,2013,130350.0,CNG,Manual,2198.0,Second,3200.0
KA 05 ZV 7868,Tata,Tiago,2022,66924.0,Hybrid,Manual,1197.0,Third,10500.0
AP 57 HR 4559,Audi,A4,2017,91950.0,Petrol,Automatic,2497.0,First,10400.0
MH 85 QH 7775,Toyota,Corolla,2019,77056.0,CNG,Automatic,1197.0,Third,7400.0
WB 86 MZ 9592,Mercedes,GLC,2011,206874.0,Diesel,Automatic,1998.0,Fourth & Above,3200.0
MH 60 BR 7761,Hyundai,Verna,2023,38447.0,Diesel,Automatic,1197.0,Second,10600.0
DL 07 IM 1647,Tata,Tiago,2014,144630.0,,Manual,1497.0,Fourth & Above,2500.0
KA 96 YP 4974,Honda,Accord,2016,132417.0,Hybrid,Automatic,1197.0,First,3300.0
WB 46 JI 6892,Tesla,Model S,2016,121620.0,Electric,Automatic,0.0,Fourth & Above,7400.0
AP 06 SH 3390,Maruti,Dzire,2024,22897.0,Electric,Automatic,0.0,Second,9600.0
WB 44 IY 9005,Toyota,RAV4,2023,34640.0,Diesel,Automatic,1598.0,Second,15900.0
KL 24 RU 1962,Tesla,Model S,2025,16539.0,Electric,Manual,0.0,Second,39900.0
MH 02 GQ 8471,Maruti,Swift,2012,247999.0,Petrol,Automatic,1999.0,Second,2500.0
HR 69 JA 9228,Hyundai,Elantra,2025,15655.0,CNG,Automatic,999.0,First,16000.0
UP 68 IL 5379,Tesla,Model S,2023,52824.0,Electric,Manual,0.0,Second,23300.0
KA 84 UY 1519,Tata,Nexon,2021,90800.0,Diesel,Manual,1999.0,Third,8100.0
WB 43 SD 9653,Honda,City,2022,49990.0,Petrol,Manual,1598.0,First,10200.0
WB 36 RS 1539,Toyota,Corolla,2016,173896.0,CNG,Automatic,999.0,Third,3400.0
DL 73 MV 9856,Ford,F-150,2010,285183.0,Electric,Manual,0.0,Third,2500.0
KA 44 TY 7499,Hyundai,Creta,2014,194617.0,Petrol,Automatic,999.0,First,2500.0
UP 85 MC 5839,Hyundai,Elantra,2018,129486.0,Diesel,Automatic,1598.0,Fourth & Above,3500.0
TN 40 OL 5419,BMW,3 Series,2012,,Diesel,Automatic,2993.0,Third,3300.0
GJ 12 TT 6315,Honda,Accord,2012,141030.0,CNG,Automatic,999.0,First,2500.0
MH 35 JI 9079,Tata,Nexon,2019,89083.0,CNG,Manual,1999.0,Second,5500.0
DL 93 UP 4203,Ford,Mustang,2015,138498.0,Electric,Manual,0.0,Third,3400.0
WB 77 EJ 6253,Mahindra,Thar,2014,137354.0,Hybrid,Automatic,1598.0,Third,2500.0
HR 51 LD 4273,Audi,A6,2025,16000.0,Hybrid,Automatic,2497.0,Fourth & Above,34700.0
AP 87 PE 5961,Audi,A6,2010,283327.0,Diesel,Automatic,1998.0,Third,2500.0
AP 70 BZ 6890,BMW,X3,2014,185984.0,Petrol,Automatic,3982.0,Fourth & Above,4000.0
WB 87 UM 6432,Tesla,Model S,2012,129304.0,Electric,Manual,0.0,First,4400.0
WB 76 WQ 3469,Tata,Nexon,2010,145665.0,CNG,Manual,1497.0,Fourth & Above,2500.0
KL 27 QP 6706,Hyundai,Elantra,2025,,Petrol,Manual,1497.0,Second,15200.0
TS 83 DV 3692,Mahindra,Thar,2024,33249.0,Petrol,Automatic,1999.0,First,13400.0
WB 24 FU 8080,Tesla,Model 3,2015,151034.0,Electric,Automatic,0.0,Second,6000.0
KA 74 DZ 9796,Tata,Nexon,2016,127675.0,Petrol,Manual,1497.0,Second,3400.0
UP 15 LL 8501,Ford,F-150,2020,61280.0,Electric,Automatic,0.0,Fourth & Above,10700.0
MH 48 WE 9369,Audi,A6,2019,123668.0,Diesel,Automatic,2497.0,First,10000.0
MH 24 KO 1878,Tata,Altroz,2014,,Electric,Manual,0.0,Second,2500.0
KL 63 FC 1505,Hyundai,Elantra,2025,13626.0,CNG,Automatic,1999.0,Fourth & Above,15900.0
HR 70 LR 1681,BMW,X3,2011,,Diesel,Automatic,1998.0,Fourth & Above,3100.0
TS 12 OD 4882,Tesla,Model Y,2016,180387.0,Electric,Automatic,0.0,First,4900.0
DL 08 SL 9720,BMW,7 Series,2021,86493.0,Electric,Manual,0.0,Second,18800.0
AP 08 IU 3078,Mercedes,S-Class,2015,127418.0,Hybrid,Automatic,2497.0,First,7700.0
WB 35 UN 7146,Tesla,Model 3,2017,87450.0,Electric,Automatic,0.0,Fourth & Above,9000.0
KA 94 OU 6869,Mahindra,Thar,2012,172398.0,Hybrid,Automatic,1497.0,Fourth & Above,2500.0
TS 71 SE 8951,Honda,Amaze,2022,43431.0,Diesel,Automatic,1497.0,Third,10400.0
MH 57 OA 8009,Hyundai,Verna,2011,130396.0,Electric,Manual,0.0,First,2500.0
WB 84 FB 7493,BMW,5 Series,2019,71859.0,Hybrid,Manual,2993.0,Third,12500.0
UP 29 QV 8291,Volkswagen,Tiguan,2017,111995.0,Petrol,Manual,1598.0,Second,3600.0
AP 12 XZ 2678,Toyota,Camry,2020,101979.0,Electric,Manual,0.0,Fourth & Above,6900.0
UP 84 FO 6753,Honda,CR-V,2021,85597.0,Diesel,Manual,1799.0,First,7100.0
MH 97 DS 7291,Tesla,Model 3,2014,209851.0,Electric,Manual,0.0,First,4300.0
WB 39 GQ 9348,Hyundai,Creta,2020,97455.0,Petrol,Manual,1999.0,Third,5100.0
WB 77 CQ 1197,BMW,X5,2019,105367.0,Diesel,Automatic,1998.0,Fourth & Above,11200.0
KA 03 SC 1225,Hyundai,Tucson,2014,146776.0,Electric,Automatic,0.0,Second,2500.0
AP 11 UR 9808,Mercedes,E-Class,2011,263181.0,Electric,Automatic,0.0,Fourth & Above,2800.0
WB 88 UC 6081,Audi,A6,2018,72003.0,Diesel,Manual,3982.0,Third,12300.0
TN 40 VX 3877,Tesla,Model Y,2017,78556.0,Electric,Manual,0.0,Fourth & Above,10900.0
HR 94 DY 1480,Honda,Civic,2014,181835.0,Hybrid,Automatic,1497.0,Second,2500.0
TN 64 SF 7024,Hyundai,Creta,2018,107960.0,CNG,Manual,1598.0,Fourth & Above,4400.0
TN 32 BP 6963,Ford,F-150,2013,223951.0,Petrol,Manual,2198.0,First,2500.0
TS 35 CS 7108,Tata,Harrier,2015,,CNG,Automatic,1497.0,Second,2500.0
HR 42 CR 8483,Honda,Amaze,2011,151119.0,Petrol,Automatic,1598.0,First,2500.0
KL 99 YG 9954,Toyota,RAV4,2016,113297.0,CNG,Manual,1497.0,Fourth & Above,4600.0
WB 49 XX 6038,BMW,5 Series,2010,278279.0,CNG,Automatic,2993.0,First,2500.0
GJ 53 WL 8511,Honda,Accord,2017,114628.0,Diesel,Automatic,999.0,First,4100.0
MH 31 JI 6161,Tesla,Model 3,2013,173254.0,Electric,Manual,0.0,First,3500.0
KL 60 KN 2978,Tata,Safari,2020,77099.0,Diesel,Manual,1197.0,First,6100.0
UP 06 GK 3430,Maruti,Brezza,2016,128045.0,Petrol,Manual,1999.0,Second,2500.0
KL 72 XR 5093,Honda,Accord,2021,61008.0,Hybrid,Automatic,999.0,Second,8800.0
AP 48 VU 2376,Honda,City,2013,210065.0,Petrol,Manual,1197.0,Second,2500.0
TS 16 BO 1829,Audi,Q5,2012,116309.0,Electric,Manual,0.0,First,5000.0
MH 36 IO 3435,Ford,Endeavour,2023,51230.0,Petrol,Automatic,2755.0,Fourth & Above,15100.0
MH 54 GU 9614,Toyota,Fortuner,2017,133250.0,CNG,Automatic,2198.0,First,4300.0
GJ 42 MI 3946,BMW,7 Series,2010,290432.0,Hybrid,Automatic,2993.0,Fourth & Above,2700.0
UP 30 FD 5060,Toyota,RAV4,2017,78880.0,Hybrid,Manual,1799.0,Fourth & Above,5800.0
MH 23 HS 6210,Volkswagen,Jetta,2018,110860.0,Petrol,Manual,1497.0,Fourth & Above,5400.0
KL 70 JF 9035,Tesla,Model S,2021,86811.0,Electric,Manual,0.0,Second,18600.0
DL 17 KW 3907,Toyota,Camry,2011,156768.0,CNG,Automatic,1497.0,First,2500.0
WB 51 SD 6514,Hyundai,Elantra,2010,155452.0,Diesel,Manual,999.0,Third,2500.0
GJ 89 TZ 6846,Mercedes,GLC,2014,217032.0,Electric,Automatic,0.0,Third,3700.0
UP 51 YS 1530,BMW,7 Series,2015,133558.0,Hybrid,Manual,1998.0,Second,7100.0
KA 31 LK 3750,Ford,Endeavour,2020,108132.0,Diesel,Manual,2755.0,Fourth & Above,7900.0
TN 07 MO 7875,Volkswagen,Polo,2020,76858.0,Diesel,Manual,,Third,7900.0
UP 84 YV 4695,Ford,EcoSport,2025,19222.0,Electric,Manual,0.0,Fourth & Above,25100.0
MH 49 FX 2228,Ford,EcoSport,2012,225020.0,Petrol,Automatic,999.0,Third,2500.0
MH 78 NF 1877,Maruti,Swift,2020,87096.0,Electric,Manual,0.0,Fourth & Above,5200.0
TN 51 SR 9043,Honda,CR-V,2016,180076.0,CNG,Automatic,1497.0,Third,2500.0
MH 82 JC 8758,Ford,Mustang,2021,41541.0,CNG,Automatic,2198.0,Second,10900.0
AP 48 FO 1731,Honda,CR-V,2022,,Hybrid,Manual,1197.0,Fourth & Above,8700.0
TS 70 NY 4727,Mercedes,GLE,2024,25616.0,,Manual,1998.0,Second,29800.0
AP 92 BQ 9467,Maruti,Swift,2022,67410.0,,Automatic,1598.0,Second,6100.0
KA 88 NG 3422,Audi,A6,2013,230199.0,Diesel,Manual,2497.0,Second,2900.0
HR 67 OA 9561,Audi,Q5,2020,107304.0,Petrol,Manual,3982.0,Fourth & Above,13300.0
HR 69 LN 5327,Tata,Nexon,2023,31755.0,CNG,Manual,1799.0,First,13200.0
TS 89 HB 8785,Tata,Altroz,2025,10476.0,Diesel,Automatic,1598.0,First,19000.0
DL 18 JX 8259,Mercedes,GLC,2010,186233.0,Hybrid,Automatic,1998.0,Fourth & Above,2800.0
GJ 48 BQ 3604,Hyundai,Tucson,2023,43506.0,Electric,Manual,0.0,Fourth & Above,11900.0
DL 08 HB 8478,Honda,CR-V,2022,41831.0,CNG,Manual,1197.0,Second,10600.0
TS 63 TO 3909,Toyota,RAV4,2016,111691.0,CNG,Automatic,1999.0,First,3900.0
UP 28 HU 4688,Mahindra,Scorpio,2021,52753.0,Petrol,Automatic,1598.0,First,8300.0
TN 29 IT 6004,Volkswagen,Jetta,2018,119180.0,Petrol,Automatic,1999.0,Second,4100.0
HR 87 QT 7506,Tesla,Model S,2018,100410.0,Electric,Automatic,0.0,Third,9900.0
TS 36 UK 5536,Audi,A4,2010,213491.0,Hybrid,Automatic,1998.0,Third,2500.0
WB 64 JI 7857,Mercedes,GLC,2016,99054.0,Petrol,Automatic,2497.0,Third,9500.0
KL 86 LQ 5918,Tata,Altroz,2011,212432.0,Diesel,Automatic,1999.0,Second,2500.0
DL 96 JN 6428,Ford,Endeavour,2015,123199.0,Hybrid,Manual,2198.0,Third,3700.0
WB 49 QJ 7768,Hyundai,Tucson,2019,89934.0,Petrol,Manual,1197.0,Fourth & Above,5400.0
MH 11 PK 3897,Toyota,Corolla,2014,217452.0,CNG,Automatic,1497.0,Second,2500.0
AP 82 NM 8029,Hyundai,Verna,2011,122801.0,Diesel,Manual,999.0,Fourth & Above,2500.0
WB 01 UX 5076,Mahindra,Bolero,2010,135833.0,Hybrid,Manual,1799.0,Third,2500.0
HR 38 OX 9524,BMW,X3,2019,67559.0,CNG,Automatic,1998.0,Second,16000.0
