registration_number,price,brand_encoded,model_encoded,fuel_type_encoded,transmission_encoded,owner_type_encoded,vehicle_age_scaled,mileage_scaled,engine_cc_scaled,mileage_per_year_scaled,brand,model,fuel_type,transmission,owner_type,vehicle_age,mileage,engine_cc,mileage_per_year
AP 28 RY 4295,2700.0,3,7,0,1,3,0.732385336313082,-0.0017384617164999732,0.24669594357375135,-0.9780550403305358,Honda,Amaze,CNG,Manual,Third,12,114308.0,1799.0,8792.923076923076
KA 44 AS 4770,18700.0,9,35,2,0,0,-0.9799956230347835,-0.5842583637762402,-1.2788729831221701,1.3289824458702832,Tesla,Model Y,Electric,Automatic,First,4,75405.0,0.0,15081.0
DL 36 VP 4510,2600.0,0,4,1,1,0,1.5885758159870147,0.42613358417602953,1.2592191778566475,-1.1204236066426494,Audi,A6,Diesel,Manual,First,16,142883.0,2993.0,8404.882352941177
AP 46 NN 8651,10300.0,6,8,2,1,0,-1.622138482790233,-1.5138824441679044,-1.2788729831221701,-1.7604214196040813,Maruti,Baleno,Electric,Manual,First,1,13321.0,0.0,6660.5
KL 18 NF 5563,4800.0,9,33,2,1,2,0.9464329562315652,0.02048243473510156,-1.2788729831221701,-1.1695962213454136,Tesla,Model 3,Electric,Manual,Second,13,115792.0,0.0,8270.857142857143
DL 22 NP 8886,2500.0,5,55,0,1,0,1.1604805761500483,0.9591955206160663,0.585051697743664,0.16148704530561075,Mahindra,XUV700,CNG,Manual,First,14,178483.0,2198.0,11898.866666666667
GJ 85 WP 3536,3300.0,1,54,2,0,1,1.3745281960685316,0.46837425054393245,-1.2788729831221701,-0.8630065564783411,BMW,X5,Electric,Automatic,Fourth & Above,15,145704.0,0.0,9106.5
KL 65 QF 1931,4400.0,1,53,0,1,3,0.30429009647611566,0.9847106200456681,0.4154498159542341,1.8058070531417314,BMW,X3,CNG,Manual,Third,10,180187.0,1998.0,16380.636363636364
UP 06 TC 7868,2500.0,6,46,1,0,0,0.5183377163945988,-0.26376236131661807,0.24669594357375135,-1.2442366576065385,Maruti,Swift,Diesel,Automatic,First,11,96809.0,1799.0,8067.416666666667
HR 59 KY 2188,5700.0,11,49,1,0,1,-0.12380514336085073,-0.45249024465623106,-0.26380572061243246,-0.7714265396703109,Volkswagen,Tiguan,Diesel,Automatic,Fourth & Above,8,84205.0,1197.0,9356.111111111111
TS 37 FO 9900,3400.0,10,30,3,1,3,0.9464329562315652,0.01425339637670113,0.585051697743664,-1.180498118993478,Toyota,Highlander,Hybrid,Manual,Third,13,115376.0,2198.0,8241.142857142857
KA 96 RE 5462,2500.0,9,35,2,1,3,1.5885758159870147,1.851520239106828,-1.2788729831221701,0.9340137235850593,Tesla,Model Y,Electric,Manual,Third,16,238076.0,0.0,14004.470588235294
AP 36 BA 6464,5700.0,7,42,3,0,3,0.30429009647611566,0.5862318489068405,0.4154498159542341,0.9181981801207618,Mercedes,S-Class,Hybrid,Automatic,Third,10,153575.0,1998.0,13961.363636363636
MH 70 BL 3426,2500.0,2,25,2,1,0,0.5183377163945988,0.8732317965401604,-1.2788729831221701,1.0773565149788669,Ford,F-150,Electric,Manual,First,11,172742.0,0.0,14395.166666666666
KA 46 YR 7658,2500.0,8,29,4,0,2,1.3745281960685316,0.8446620725309584,0.4162978253631812,-0.28675871535124964,Tata,Harrier,Petrol,Automatic,Second,15,170834.0,1999.0,10677.125
TS 53 ZV 5065,7200.0,0,4,1,0,0,0.09024247655763246,0.6033617043924417,0.8386065110188615,1.4724000542087343,Audi,A6,Diesel,Automatic,First,9,154719.0,2497.0,15471.9
KL 45 JZ 4728,4800.0,7,19,2,1,2,0.9464329562315652,0.6058473302758419,-1.2788729831221701,-0.14510611375942584,Mercedes,E-Class,Electric,Manual,Second,13,154885.0,0.0,11063.214285714286
GJ 43 AD 5279,8000.0,1,0,4,0,3,0.30429009647611566,0.11285488096820794,2.097900483305378,-0.13624593951267125,BMW,3 Series,Petrol,Automatic,Third,10,121961.0,3982.0,11087.363636363636
UP 25 IB 8144,7400.0,2,22,3,0,1,-0.12380514336085073,-0.6585126936303453,0.585051697743664,-1.3323210205346274,Ford,Endeavour,Hybrid,Automatic,Fourth & Above,8,70446.0,2198.0,7827.333333333333
WB 53 KM 5844,4400.0,10,26,3,0,0,0.30429009647611566,0.049082106044103534,1.4330611066908132,-0.27829938120049275,Toyota,Fortuner,Hybrid,Automatic,First,10,117702.0,3198.0,10700.181818181818
HR 37 GN 6279,2500.0,6,8,1,0,1,0.30429009647611566,0.18540221473371293,0.24669594357375135,0.025352774969013746,Maruti,Baleno,Diesel,Automatic,Fourth & Above,10,126806.0,1799.0,11527.818181818182
UP 43 CY 4848,15900.0,5,9,1,1,3,-1.40809086287175,-1.2258493146914844,0.24669594357375135,-0.22247639218002194,Mahindra,Bolero,Diesel,Manual,Third,2,32557.0,1799.0,10852.333333333334
KA 59 NU 4185,3800.0,11,49,4,1,1,0.09024247655763246,0.47550170789633295,0.24669594357375135,1.1591120118444378,Volkswagen,Tiguan,Petrol,Manual,Fourth & Above,9,146180.0,1799.0,14618.0
GJ 60 BR 5082,20300.0,9,34,2,1,1,-0.9799956230347835,-0.9084977787108626,-1.2788729831221701,-0.2599481711472782,Tesla,Model S,Electric,Manual,Fourth & Above,4,53751.0,0.0,10750.2
GJ 55 RO 3607,2500.0,3,14,0,0,1,0.732385336313082,1.2190931619303842,0.24669594357375135,1.3229710814496976,Honda,City,CNG,Automatic,Fourth & Above,12,195840.0,1799.0,15064.615384615385
KA 92 JH 5451,30000.0,9,35,2,0,2,-1.40809086287175,-1.366377019002994,-1.2788729831221701,-1.3702330684453632,Tesla,Model Y,Electric,Automatic,Second,2,23172.0,0.0,7724.0
GJ 60 NB 4388,2500.0,4,50,1,1,0,1.1604805761500483,0.28259617623461963,0.07624605237537437,-0.9437347591424594,Hyundai,Tucson,Diesel,Manual,First,14,133297.0,1598.0,8886.466666666667
HR 97 MN 9818,2500.0,8,6,2,0,0,1.5885758159870147,2.31664672595056,-1.2788729831221701,1.604409517276437,Tata,Altroz,Electric,Automatic,First,16,269139.0,0.0,15831.70588235294
WB 52 XF 8657,8200.0,9,34,2,1,1,0.09024247655763246,0.054023410511103875,-1.2788729831221701,0.12638782675599428,Tesla,Model S,Electric,Manual,Fourth & Above,9,118032.0,0.0,11803.2
MH 07 IM 6363,2500.0,2,22,4,1,1,1.5885758159870147,2.426508395266868,1.057392938527226,1.7627552642523778,Ford,Endeavour,Petrol,Manual,Fourth & Above,16,276476.0,2755.0,16263.29411764706
GJ 07 LH 2124,16000.0,1,54,3,0,3,-0.5519003831978171,-0.6237438785625429,0.4154498159542341,-0.390110539508829,BMW,X5,Hybrid,Automatic,Third,6,72768.0,1998.0,10395.42857142857
KA 73 GO 5198,2500.0,11,38,4,1,2,1.5885758159870147,2.5052548200909732,-0.26380572061243246,1.8762540080640808,Volkswagen,Polo,Petrol,Manual,Second,16,281735.0,1197.0,16572.647058823528
AP 51 WG 2245,2500.0,4,45,3,1,0,0.9464329562315652,1.3827252080375956,-0.00940289792828771,1.2145649335350717,Hyundai,Sonata,Hybrid,Manual,First,13,206768.0,1497.0,14769.142857142857
WB 48 CQ 6590,3400.0,0,4,0,1,0,0.9464329562315652,1.2340817854802852,1.2592191778566475,0.9544131596111955,Audi,A6,CNG,Manual,First,13,196841.0,2993.0,14060.07142857143
GJ 84 IT 9817,19700.0,10,30,2,1,1,-1.622138482790233,-1.5052426481756036,-1.2788729831221701,-1.654573427775882,Toyota,Highlander,Electric,Manual,Fourth & Above,1,13898.0,0.0,6949.0
DL 97 OS 7209,13800.0,5,9,3,1,0,-1.1940432429532666,-0.9326053550498642,-0.00940289792828771,0.5784156199342722,Mahindra,Bolero,Hybrid,Manual,First,3,52141.0,1497.0,13035.25
UP 90 IR 1166,14700.0,4,21,1,0,3,-1.622138482790233,-1.4402869549093993,-0.00940289792828771,-0.8587873124366624,Hyundai,Elantra,Diesel,Automatic,Third,1,18236.0,1497.0,9118.0
KL 03 CJ 4630,2500.0,6,8,0,1,1,1.1604805761500483,0.5089678154228353,0.4162978253631812,-0.5739577653911663,Maruti,Baleno,CNG,Manual,Fourth & Above,14,148415.0,1999.0,9894.333333333334
TS 90 OI 6023,5400.0,8,29,0,0,1,-0.3378527632793339,-0.14181695653100965,0.4162978253631812,0.6091885846295588,Tata,Harrier,CNG,Automatic,Fourth & Above,7,104953.0,1999.0,13119.125
HR 93 SY 9595,3900.0,7,19,0,1,2,0.9464329562315652,1.2818177813614886,0.8386065110188615,1.0379594329333788,Mercedes,E-Class,CNG,Manual,Second,13,200029.0,2497.0,14287.785714285714
MH 36 BB 5786,3500.0,0,39,3,1,3,0.9464329562315652,1.4973934189718034,0.4154498159542341,1.415254193604483,Audi,Q5,Hybrid,Manual,Third,13,214426.0,1998.0,15316.142857142857
MH 07 IP 2869,37600.0,9,33,2,0,1,-1.622138482790233,-1.5625018853932076,-1.2788729831221701,-2.3560686110532387,Tesla,Model 3,Electric,Automatic,Fourth & Above,1,10074.0,0.0,5037.0
KA 32 DR 7818,17700.0,3,14,4,1,2,-1.622138482790233,-1.5297994340116055,0.24669594357375135,-1.9554238724868822,Honda,City,Petrol,Manual,Second,1,12258.0,1799.0,6129.0
KA 98 GU 4457,22500.0,0,4,0,0,3,-0.9799956230347835,-0.9228724826148635,0.4154498159542341,-0.33039120210400025,Audi,A6,CNG,Automatic,Third,4,52791.0,1998.0,10558.2
KL 38 BH 5720,7600.0,7,11,1,1,1,0.5183377163945988,0.04744997820500342,2.097900483305378,-0.6087818158511088,Mercedes,C-Class,Diesel,Manual,Fourth & Above,11,117593.0,3982.0,9799.416666666666
DL 83 EI 3330,28800.0,9,35,2,1,1,-1.40809086287175,-1.2705157123431876,-1.2788729831221701,-0.5872881306242962,Tesla,Model Y,Electric,Manual,Fourth & Above,2,29574.0,0.0,9858.0
HR 90 MI 9199,2500.0,3,15,0,0,1,0.5183377163945988,0.9604832545074664,-0.43171158358396805,1.2555125659271396,Honda,Civic,CNG,Automatic,Fourth & Above,11,178569.0,999.0,14880.75
DL 87 SS 1339,8700.0,6,18,2,0,3,-1.40809086287175,-1.4323209731625988,-1.2788729831221701,-1.9088287426353003,Maruti,Dzire,Electric,Automatic,Third,2,18768.0,0.0,6256.0
AP 82 PC 8700,2500.0,11,49,0,0,3,1.3745281960685316,1.822935541447726,-0.26380572061243246,1.2113710182084905,Volkswagen,Tiguan,CNG,Automatic,Third,15,236167.0,1197.0,14760.4375
WB 52 YR 1601,6800.0,4,17,1,0,1,-0.5519003831978171,-0.6849411857038471,0.4162978253631812,-0.6043223456993961,Hyundai,Creta,Diesel,Automatic,Fourth & Above,6,68681.0,1999.0,9811.57142857143
DL 67 LT 9167,7800.0,5,47,2,1,1,-0.5519003831978171,-0.7459438353964514,-1.2788729831221701,-0.8178527832869599,Mahindra,Thar,Electric,Manual,Fourth & Above,6,64607.0,0.0,9229.57142857143
WB 78 ZH 3594,2500.0,11,52,3,0,1,1.3745281960685316,0.5885527646413408,-0.43171158358396805,-0.6789649658342489,Volkswagen,Virtus,Hybrid,Automatic,Fourth & Above,15,153730.0,999.0,9608.125
HR 66 WI 7807,2500.0,7,42,4,0,0,1.5885758159870147,1.5469112791911068,0.8386065110188615,0.49497494332997444,Mercedes,S-Class,Petrol,Automatic,First,16,217733.0,2497.0,12807.823529411764
AP 44 ZQ 5377,4700.0,5,9,1,1,0,0.09024247655763246,0.00396649889540042,-0.00940289792828771,0.003736236918326262,Mahindra,Bolero,Diesel,Manual,First,9,114689.0,1497.0,11468.9
TS 43 RY 9903,6500.0,10,41,2,1,1,-0.3378527632793339,0.05269075567000378,-1.2788729831221701,1.2049274987752747,Toyota,RAV4,Electric,Manual,Fourth & Above,7,117943.0,0.0,14742.875
KL 91 ZM 7325,5200.0,8,6,1,0,2,-0.5519003831978171,-0.13963080364560948,0.07624605237537437,1.3044531761621387,Tata,Altroz,Diesel,Automatic,Second,6,105099.0,1598.0,15014.142857142857
KL 02 XE 7717,15200.0,11,32,0,0,0,-1.622138482790233,-1.4265561179510984,0.07624605237537437,-0.6905678869488653,Volkswagen,Jetta,CNG,Automatic,First,1,19153.0,1598.0,9576.5
GJ 49 KU 8994,2500.0,11,32,3,0,0,1.1604805761500483,1.0209169055038705,-0.00940289792828771,0.26230863336241894,Volkswagen,Jetta,Hybrid,Automatic,First,14,182605.0,1497.0,12173.666666666666
WB 91 DO 3725,2500.0,6,46,3,1,0,1.1604805761500483,0.5118128089038355,0.07624605237537437,-0.5693104820988828,Maruti,Swift,Hybrid,Manual,First,14,148605.0,1598.0,9907.0
DL 68 NS 3950,3000.0,9,35,2,0,3,1.5885758159870147,0.3761215935100261,-1.2788729831221701,-1.192506855231942,Tesla,Model Y,Electric,Automatic,Third,16,139543.0,0.0,8208.411764705883
HR 59 IV 1153,2500.0,2,24,1,0,2,1.1604805761500483,1.2792722608784883,-0.26380572061243246,0.6843308750732807,Ford,Explorer,Diesel,Automatic,Second,14,199859.0,1197.0,13323.933333333332
HR 26 MP 2747,3300.0,5,44,0,0,1,0.5183377163945988,-0.20243029132621382,0.4162978253631812,-1.1190046025723661,Mahindra,Scorpio,CNG,Automatic,Fourth & Above,11,100905.0,1999.0,8408.75
WB 96 BT 9138,15600.0,1,54,3,1,1,-0.7659480031163003,-0.609623726706842,1.2592191778566475,0.3032169560273903,BMW,X5,Hybrid,Manual,Fourth & Above,5,73711.0,2993.0,12285.166666666666
KL 05 SL 3153,19700.0,7,19,3,1,0,-0.7659480031163003,-0.9240853482567636,0.4154498159542341,-0.9809619442522273,Mercedes,E-Class,Hybrid,Manual,First,5,52710.0,1998.0,8785.0
KL 38 XK 2886,5500.0,3,12,1,0,3,-0.5519003831978171,-0.2975728627908204,-0.26380572061243246,0.7516011742785791,Honda,CR-V,Diesel,Automatic,Third,6,94551.0,1197.0,13507.285714285714
TN 34 RD 8451,2500.0,5,47,2,0,0,0.732385336313082,1.1076892066743766,-1.2788729831221701,1.1129966622517757,Mahindra,Thar,Electric,Automatic,First,12,188400.0,0.0,14492.307692307691
GJ 42 TH 2035,3600.0,4,51,3,1,2,-0.12380514336085073,0.009431881108900798,0.07624605237537437,0.4861527786074194,Hyundai,Verna,Hybrid,Manual,Second,8,115054.0,1598.0,12783.777777777777
DL 69 EM 8432,5000.0,11,52,4,1,3,-0.3378527632793339,-0.17236320232701174,0.07624605237537437,0.5156314341401624,Volkswagen,Virtus,Petrol,Manual,Third,7,102913.0,1598.0,12864.125
HR 05 WL 4559,11400.0,4,51,2,1,1,-1.1940432429532666,-1.031656049138371,-1.2788729831221701,-0.028330017798431452,Hyundai,Verna,Electric,Manual,Fourth & Above,3,45526.0,0.0,11381.5
KA 59 CV 4475,3200.0,5,9,3,0,0,0.09024247655763246,0.5384958530256373,0.07624605237537437,1.3134629656126307,Mahindra,Bolero,Hybrid,Automatic,First,9,150387.0,1598.0,15038.7
DL 30 KY 3417,2500.0,11,38,1,1,0,1.3745281960685316,1.88022472596513,0.24669594357375135,1.2991037774664391,Volkswagen,Polo,Diesel,Manual,First,15,239993.0,1799.0,14999.5625
TN 17 AL 4898,9200.0,0,3,1,0,2,-0.12380514336085073,0.29688103823922063,0.4154498159542341,1.2687308256422534,Audi,A4,Diesel,Automatic,Second,8,134251.0,1998.0,14916.777777777777
TS 66 SD 8405,2700.0,0,39,2,1,0,1.5885758159870147,0.6388342810055442,-1.2788729831221701,-0.8138539820286065,Audi,Q5,Electric,Manual,First,16,157088.0,0.0,9240.470588235294
TN 62 MN 2768,2500.0,6,8,0,0,1,1.3745281960685316,1.7863099937923235,0.4162978253631812,1.1552825892631315,Maruti,Baleno,CNG,Automatic,Fourth & Above,15,233721.0,1999.0,14607.5625
UP 71 WK 7240,2500.0,5,9,1,1,2,1.1604805761500483,1.88309966674593,-0.00940289792828771,1.6706800647818831,Mahindra,Bolero,Diesel,Manual,Second,14,240185.0,1497.0,16012.333333333334
AP 44 OM 7815,34400.0,0,39,4,1,1,-1.40809086287175,-1.2816411342188883,2.097900483305378,-0.6781547486813176,Audi,Q5,Petrol,Manual,Fourth & Above,2,28831.0,3982.0,9610.333333333334
KA 12 ND 7105,13500.0,9,33,2,1,1,-0.5519003831978171,-0.5563924013123382,-1.2788729831221701,-0.15435700286944198,Tesla,Model 3,Electric,Manual,Fourth & Above,6,77266.0,0.0,11038.0
AP 93 BJ 6119,2500.0,2,22,3,1,1,1.3745281960685316,1.4493280027928002,1.4330611066908132,0.6392277677523798,Ford,Endeavour,Hybrid,Manual,Fourth & Above,15,211216.0,3198.0,13201.0
UP 29 ZN 1430,3800.0,4,21,4,0,3,0.30429009647611566,-0.2399243106758164,-0.43171158358396805,-0.9220592962079229,Hyundai,Elantra,Petrol,Automatic,Third,10,98401.0,999.0,8945.545454545454
MH 73 VM 2140,2500.0,0,39,3,0,3,1.5885758159870147,0.692574710496648,0.4154498159542341,-0.736396862511549,Audi,Q5,Hybrid,Automatic,Third,16,160677.0,1998.0,9451.588235294117
HR 93 KY 2391,2500.0,2,36,2,0,3,1.1604805761500483,1.5556409170828074,-1.2788729831221701,1.1357777578400234,Ford,Mustang,Electric,Automatic,Third,14,218316.0,0.0,14554.4
UP 57 NI 4531,2700.0,10,16,4,0,1,0.5183377163945988,0.8649064471957598,0.4162978253631812,1.0603572418834084,Toyota,Corolla,Petrol,Automatic,Fourth & Above,11,172186.0,1999.0,14348.833333333334
UP 08 AG 5938,5300.0,6,46,0,0,3,-0.7659480031163003,-0.7051556130688486,-0.43171158358396805,-0.0869102466669553,Maruti,Swift,CNG,Automatic,Third,5,67331.0,999.0,11221.833333333334
GJ 91 HQ 6802,10400.0,1,1,2,0,2,-0.12380514336085073,-0.3861569755992265,-1.2788729831221701,-0.590834741557881,BMW,5 Series,Electric,Automatic,Second,8,88635.0,0.0,9848.333333333334
WB 54 JD 7636,2500.0,3,14,4,0,1,1.3745281960685316,1.1057576058372764,0.24669594357375135,0.11308344962022247,Honda,City,Petrol,Automatic,Fourth & Above,15,188271.0,1799.0,11766.9375
UP 52 QC 7484,2500.0,10,41,3,1,1,0.5183377163945988,0.9761756396026675,-0.43171158358396805,1.2875543612581486,Toyota,RAV4,Hybrid,Manual,Fourth & Above,11,179617.0,999.0,14968.083333333334
WB 19 HD 3399,9500.0,7,27,0,1,2,0.09024247655763246,-0.16135756965051098,1.2592191778566475,-0.4013478801614489,Mercedes,GLC,CNG,Manual,Second,9,103648.0,2993.0,10364.8
UP 58 VS 6295,6000.0,7,19,4,1,1,0.5183377163945988,0.6570422392839455,0.8386065110188615,0.6359257506762834,Mercedes,E-Class,Petrol,Manual,Fourth & Above,11,158304.0,2497.0,13192.0
HR 60 OB 1932,2500.0,11,49,3,0,0,0.732385336313082,0.5573626518996386,-0.00940289792828771,0.07573996483494681,Volkswagen,Tiguan,Hybrid,Automatic,First,12,151647.0,1497.0,11665.153846153846
TN 58 ZS 4084,2500.0,4,50,4,0,1,1.1604805761500483,1.388624826098196,0.24669594357375135,0.8629577691972186,Hyundai,Tucson,Petrol,Automatic,Fourth & Above,14,207162.0,1799.0,13810.8
KA 65 UF 1641,18000.0,4,56,2,1,3,-1.622138482790233,-1.4461566256701996,-1.2788729831221701,-0.9306979065383162,Hyundai,i20,Electric,Manual,Third,1,17844.0,0.0,8922.0
TS 87 TB 6482,31200.0,1,54,3,0,3,-1.40809086287175,-1.265334829477787,2.097900483305378,-0.544973393278765,BMW,X5,Hybrid,Automatic,Third,2,29920.0,3982.0,9973.333333333334
MH 45 JU 7421,2500.0,3,12,3,1,3,0.9464329562315652,0.9681497632562669,-0.43171158358396805,0.48898599078999605,Honda,CR-V,Hybrid,Manual,Third,13,179081.0,999.0,12791.5
TN 47 JF 4509,2500.0,2,22,3,1,0,1.1604805761500483,0.650214254929545,2.9196216005751654,-0.3432323796221527,Ford,Endeavour,Hybrid,Manual,First,14,157848.0,4951.0,10523.2
GJ 05 VK 3147,3700.0,4,17,4,0,0,0.30429009647611566,-0.1530322203061104,0.24669594357375135,-0.7285077296161335,Hyundai,Creta,Petrol,Automatic,First,10,104204.0,1799.0,9473.09090909091
WB 93 HO 5668,5500.0,0,40,0,1,1,0.732385336313082,0.0804219552848057,0.4154498159542341,-0.8231989061720685,Audi,Q7,CNG,Manual,Fourth & Above,12,119795.0,1998.0,9215.0
UP 57 OY 5616,8900.0,9,35,2,1,3,0.09024247655763246,0.11790100098450829,-1.2788729831221701,0.28290343616296054,Tesla,Model Y,Electric,Manual,Third,9,122298.0,0.0,12229.8
TS 71 DW 9452,11500.0,8,48,0,1,3,-1.1940432429532666,-0.8560301094612589,-0.43171158358396805,1.0474854901330697,Tata,Tiago,CNG,Manual,Third,3,57255.0,999.0,14313.75
DL 58 LA 7797,2500.0,3,12,0,1,1,1.1604805761500483,1.5947371169717102,-0.43171158358396805,1.199641214030302,Honda,CR-V,CNG,Manual,Fourth & Above,14,220927.0,999.0,14728.466666666667
WB 43 ZE 3254,12600.0,10,30,3,1,0,-0.7659480031163003,-0.8633372506124595,1.4330611066908132,-0.7328826242943964,Toyota,Highlander,Hybrid,Manual,First,5,56767.0,3198.0,9461.166666666666
TN 33 GE 9991,24300.0,10,41,2,0,0,-1.622138482790233,-1.466056606387301,-1.2788729831221701,-1.1744968339900963,Toyota,RAV4,Electric,Automatic,First,1,16515.0,0.0,8257.5
WB 80 OC 2816,25500.0,9,34,2,1,0,-1.1940432429532666,-1.2718034462345875,-1.2788729831221701,-1.4993786251993535,Tesla,Model S,Electric,Manual,First,3,29488.0,0.0,7372.0
WB 86 CQ 6908,3600.0,5,47,4,0,2,0.09024247655763246,0.36550527573092534,0.24669594357375135,0.8895940402777293,Mahindra,Thar,Petrol,Automatic,Second,9,138834.0,1799.0,13883.4
TS 09 LH 2698,2500.0,3,7,2,0,3,1.5885758159870147,1.1818536946290816,-1.2788729831221701,-0.031189607749953035,Honda,Amaze,Electric,Automatic,Third,16,193353.0,0.0,11373.70588235294
KA 92 YO 1605,6800.0,0,39,1,0,1,0.732385336313082,-0.1485401253361101,0.8386065110188615,-1.2547471378865065,Audi,Q5,Diesel,Automatic,Fourth & Above,12,104504.0,2497.0,8038.7692307692305
WB 25 JL 1783,2600.0,7,19,3,0,1,1.3745281960685316,1.9283799840435332,2.097900483305378,1.3728488254992575,Mercedes,E-Class,Hybrid,Automatic,Fourth & Above,15,243209.0,3982.0,15200.5625
MH 64 WP 7018,5400.0,11,49,2,0,1,-0.12380514336085073,-0.5689103726287391,-1.2788729831221701,-1.0883794133326452,Volkswagen,Tiguan,Electric,Automatic,Fourth & Above,8,76430.0,0.0,8492.222222222223
TS 85 JJ 8305,2500.0,6,10,0,1,3,1.1604805761500483,1.507590474553704,-0.00940289792828771,1.0572875889719262,Maruti,Brezza,CNG,Manual,Third,14,215107.0,1497.0,14340.466666666667
TN 10 VU 7655,5000.0,0,40,4,0,1,0.5183377163945988,0.7764720708863537,1.2592191778566475,0.8797858265924355,Audi,Q7,Petrol,Automatic,Fourth & Above,11,166280.0,2993.0,13856.666666666666
WB 47 LM 1530,2500.0,4,56,0,0,0,0.5183377163945988,1.1971867121266828,-0.26380572061243246,1.7388300283246492,Hyundai,i20,CNG,Automatic,First,11,194377.0,1197.0,16198.083333333334
HR 32 DA 4048,28200.0,0,4,4,1,3,-1.40809086287175,-1.1523736146321795,2.097900483305378,0.37763463716830264,Audi,A6,Petrol,Manual,Third,2,37464.0,3982.0,12488.0
KL 26 DE 2213,2500.0,5,9,2,1,3,0.9464329562315652,0.38404265430712664,-1.2788729831221701,-0.5333027720785941,Mahindra,Bolero,Electric,Manual,Third,13,140072.0,0.0,10005.142857142857
MH 92 WW 3852,16500.0,5,55,3,0,0,-1.40809086287175,-1.1116003659544766,1.4330611066908132,0.7106491741390562,Mahindra,XUV700,Hybrid,Automatic,First,2,40187.0,3198.0,13395.666666666666
UP 48 OZ 3126,4100.0,4,56,1,1,1,0.09024247655763246,-0.44468897305833055,-0.43171158358396805,-1.0955786258713935,Hyundai,i20,Diesel,Manual,Fourth & Above,9,84726.0,999.0,8472.6
KA 17 KU 2215,3800.0,0,3,2,0,1,1.1604805761500483,0.6869146708344476,-1.2788729831221701,-0.2832824251516925,Audi,A4,Electric,Automatic,Fourth & Above,14,160299.0,0.0,10686.6
TN 16 QE 5982,9700.0,5,9,0,1,2,-0.7659480031163003,-0.9537032277589657,0.07624605237537437,-1.1019136067803488,Mahindra,Bolero,CNG,Manual,Second,5,50732.0,1598.0,8455.333333333334
GJ 36 EU 5961,7600.0,2,24,0,0,0,-0.5519003831978171,-0.12634917618430858,-0.00940289792828771,1.350943480074797,Ford,Explorer,CNG,Automatic,First,6,105986.0,1497.0,15140.857142857143
WB 99 SI 4453,4500.0,0,3,1,0,0,0.5183377163945988,0.6288468565222435,0.4154498159542341,0.5783544714699002,Audi,A4,Diesel,Automatic,First,11,156421.0,1998.0,13035.083333333334
WB 52 JO 2195,2500.0,0,40,3,0,1,1.5885758159870147,1.448998582495,0.8386065110188615,0.35385148149602724,Audi,Q7,Hybrid,Automatic,Fourth & Above,16,211194.0,2497.0,12423.176470588236
